logP(o/w),logS,PEOE_VSA+1,GCUT_SMR_1,PEOE_RPC-,rsynth,BCUT_SMR_2,GCUT_SMR_2,h_ema,h_logS,BCUT_SLOGP_3,BCUT_SLOGP_1,h_log_pbo,chi1v_C,balabanJ,BCUT_PEOE_1,GCUT_PEOE_2,vsa_other,BCUT_PEOE_2,BCUT_PEOE_0,SMR_VSA5,chi1v,chi1_C,BCUT_SMR_0,BCUT_SMR_1,PEOE_VSA+3,VDistEq,lip_violation,PEOE_VSA_FPOS,PEOE_RPC+,PEOE_VSA_FNEG,PEOE_VSA_NEG,BCUT_SLOGP_2,PEOE_PC-,Kier2,PEOE_PC+,PEOE_VSA-0,vsa_acc,SMR_VSA0,SlogP_VSA4,apol,Weight,PEOE_VSA-5,petitjeanSC,petitjean,SMR,SMR_VSA6,SlogP_VSA2,weinerPath,VDistMa,b_double,chi0_C,h_pstates,a_nO,weinerPol,h_mr,VAdjEq,SlogP_VSA3,zagreb,chi1,Kier1,opr_brigid,mr,chi0,diameter,vdw_vol,SlogP_VSA7,a_hyd,b_max1len,opr_violation,a_acc,SlogP_VSA1,VAdjMa,a_nC,b_heavy,a_aro,a_heavy,b_ar,a_nN,lip_acc,rings,opr_nring,PEOE_VSA-3,ast_violation_ext,ast_violation,logPapp
4.1110001,-7.6012802,15.808495,-0.21605732,0.088269666,0,0.61580157,0.15851116,12.496084,-7.7814198,2.7280087,-0.48645151,9.3329163,13.045307,1.7685483,-0.51536518,0.050025791,77.697189,0.49301279,-2.7269962,221.51997,19.025116,14.179578,-2.4710639,-0.33788794,40.197308,3.7401924,2,0.80426651,0.07708399,0.19573347,140.15913,0.45924678,-3.5314114,20.429419,3.5314114,33.825527,81.401527,143.17329,16.417963,120.86158,724.94397,81.401527,0.80000001,0.44444445,19.662319,68.431854,167.06511,9397,11.196194,6,27.714449,1.0206616,7,89,20.188477,0.24540348,36.879158,268,24.491886,44.711407,32,19.928228,38.438065,18,832.76569,70.572739,33,3,3,7,44.049957,6.7813597,39,55,6,52,6,6,13,4,3,13.566921,4,2,-5.95
5.3340001,-8.6083202,15.808495,-0.21319209,0.088319816,0,0.5404101,0.12841988,12.500566,-8.5978794,2.7221699,-0.44446942,9.3329468,13.608256,2.1648073,-0.4615207,0.040837944,77.697189,0.41856411,-2.7322106,202.65158,19.719049,14.742526,-2.475605,-0.29537719,40.197308,3.7641683,2,0.81912345,0.077127792,0.18087657,140.15913,0.38037053,-3.5294061,22.3925,3.5294061,33.825527,81.401527,143.17329,20.82876,128.38234,755.01398,81.401527,0.63636363,0.3888889,20.790119,49.992279,167.06511,10372,11.308724,6,29.877586,1.0206616,7,92,21.267082,0.23494832,18.439579,272,25.223938,48.369259,28,21.020418,40.6012,18,877.815,70.572739,35,3,3,7,44.049957,6.8073549,41,56,6,54,6,6,13,3,2,13.566921,5,3,-5.83
5.5310001,-8.5023298,15.808495,-0.20625593,0.086282447,0,0.53471178,0.12701815,12.523401,-8.9969559,2.720896,-0.43233445,9.3331633,13.608256,2.2089617,-0.4562887,0.039097201,77.697189,0.41321313,-2.7374866,202.65158,20.109394,14.742526,-2.4800308,-0.29110774,40.197308,3.756861,2,0.83255422,0.075348169,0.16744576,134.47655,0.37385523,-3.6126323,22.558893,3.6126323,33.825527,81.401527,143.17329,20.82876,131.47592,769.04095,81.401527,0.63636363,0.3888889,21.25285,49.992279,167.06511,10735,11.36366,6,30.877586,1.0206177,7,96,21.721497,0.23157986,18.439579,278,25.651457,49.362881,28,21.474892,41.471443,18,898.89178,70.572739,36,3,3,7,47.174271,6.83289,42,57,6,55,6,6,13,3,2,13.566921,5,3,-5.82
5.3340001,-8.6083202,15.808495,-0.21319209,0.088319816,0,0.5404101,0.12841988,12.500566,-8.5978794,2.7221699,-0.44446942,9.3329468,13.608256,2.1648073,-0.4615207,0.040837944,77.697189,0.41856411,-2.7322106,202.65158,19.719049,14.742526,-2.475605,-0.29537719,40.197308,3.7641683,2,0.81912345,0.077127792,0.18087657,140.15913,0.38037053,-3.5294061,22.3925,3.5294061,33.825527,81.401527,143.17329,20.82876,128.38234,755.01398,81.401527,0.63636363,0.3888889,20.790119,49.992279,167.06511,10372,11.308724,6,29.877586,1.0206616,7,92,21.267082,0.23494832,18.439579,272,25.223938,48.369259,28,21.020418,40.6012,18,877.815,70.572739,35,3,3,7,44.049957,6.8073549,41,56,6,54,6,6,13,3,2,13.566921,5,3,-6.54
5.2529998,-9.73106,29.207598,-0.21900006,0.093986869,0.1509434,0.62448668,0.14818507,11.561097,-8.2117949,2.7145095,-0.44016227,10.69818,14.191589,1.6986922,-0.49718869,0.046548493,77.697189,0.45510095,-2.7114723,220.29475,19.407743,15.57586,-2.4586308,-0.33118856,40.197308,3.8380089,3,0.83573234,0.082816057,0.16426767,115.49698,0.52115297,-3.3159871,21.671528,3.3159871,0,81.401527,143.17329,20.399931,123.58637,735.97101,81.401527,0.63636363,0.3888889,20.42112,49.992279,183.85065,10325,11.245952,6,28.162043,1,6,84,20.80818,0.24170427,18.439579,270,25.013855,45.698978,32,20.561451,38.982033,18,848.96753,92.933022,34,3,4,6,34.677017,6.8073549,40,56,9,53,10,7,13,4,3,0,6,4,-5.48
4.2270002,-8.6180296,29.207598,-0.22233817,0.091652416,0.15384616,0.62632072,0.1604728,11.57921,-7.7937336,2.7272365,-0.45862833,10.698365,13.628641,1.4688106,-0.52458686,0.052769635,77.697189,0.50615609,-2.7066576,239.16316,19.104153,15.012911,-2.4543281,-0.34646839,40.197308,3.8186152,2,0.83670777,0.080744229,0.16329224,109.81441,0.55117834,-3.4010725,19.921875,3.4010725,0,81.401527,143.17329,15.989136,119.1592,719.92798,81.401527,0.80000001,0.44444445,19.75605,68.431854,183.85065,9729,11.187761,6,26.998907,1,6,85,20.18399,0.24876592,36.879158,272,24.709326,43.128826,36,19.922482,37.68914,18,824.995,92.933022,33,3,3,6,37.801331,6.8073549,39,56,9,52,10,7,13,5,4,0,5,3,-6.72
5.2529998,-8.7907104,29.207598,-0.21266146,0.093986779,0.1509434,0.60425609,0.1387351,11.561163,-7.9267116,2.7144163,-0.42701882,10.69818,14.356114,1.7213608,-0.47580582,0.040244151,77.697189,0.44094226,-2.7199171,220.29475,19.572268,15.740384,-2.4675124,-0.31839165,40.197308,3.8189566,3,0.83573234,0.082815975,0.16426767,115.49698,0.50965887,-3.3159902,21.671528,3.3159902,0,81.401527,143.17329,20.399931,123.58637,735.97101,81.401527,0.63636363,0.3888889,20.42112,49.992279,183.85065,10181,11.246307,6,28.162043,1,6,90,20.80818,0.24170427,18.439579,270,25.178381,45.698978,32,20.59166,38.982033,18,848.96753,92.933022,34,3,4,6,34.677017,6.8073549,40,56,9,53,10,7,13,4,3,0,6,4,-6.39
2.1630001,-7.5734601,60.824585,-0.22340214,0.083735868,0.20338982,0.7390939,0.18626277,14.824323,-8.0831337,2.6896958,-0.53807992,16.827934,14.470704,1.314695,-0.56993294,0.076899432,77.697189,0.62351364,-2.6708901,415.595,20.353306,17.77599,-2.4186029,-0.42692316,41.956276,3.9468095,3,0.5744167,0.074379534,0.42558333,309.30841,0.67789757,-3.7218213,24.333937,3.7218213,162.50203,81.401527,143.17329,9.1278973,127.86082,806.96497,81.401527,0.81818181,0.44999999,22.12694,68.431854,190.31929,13808,11.557405,6,29.069975,1.0066818,7,95,22.602154,0.22728641,36.879158,304,28.498444,48.456055,44,22.406485,41.889965,20,924.02271,269.36487,38,5,5,8,34.677017,7,44,64,21,59,22,8,15,6,5,0,5,3,-7.1
1.574,-6.4046102,31.616989,-0.22078753,0.094276935,0.021276595,0.71442968,0.18308596,12.411865,-6.0708456,2.711822,-0.53807992,12.397199,11.009379,1.5751328,-0.55312836,0.072236463,77.697189,0.58070201,-2.6808207,253.13069,16.014017,13.114194,-2.4303303,-0.39121345,33.497757,3.8683147,3,0.60244012,0.083715543,0.39755985,238.45787,0.67211181,-3.3057845,19.565218,3.3057845,115.07654,81.401527,143.17329,10.781946,101.39289,648.76099,81.401527,1,0.5,17.255329,68.431854,163.08315,7863,10.876521,6,22.973963,1.0206776,7,74,17.818501,0.26595098,36.879158,238,22.404795,39.7808,34,17.597973,34.086845,20,732.48047,158.78867,28,3,4,7,34.677017,6.643856,34,50,12,47,12,6,13,4,3,13.566921,5,3,-8.3
2.5999999,-7.5176401,31.616989,-0.22165909,0.083351374,0.020833334,0.7146216,0.18061323,12.393719,-6.4883714,2.699101,-0.53807992,12.397014,11.572328,1.8902178,-0.55938637,0.073184334,77.697189,0.59338468,-2.6974244,234.26228,16.317608,13.677142,-2.4461389,-0.40820563,33.497757,3.8756859,3,0.61272365,0.085927613,0.38727635,244.14044,0.64507174,-3.2206821,21.507786,3.2206821,115.07654,81.401527,143.17329,15.192742,105.82006,664.80402,81.401527,1,0.5,17.920401,49.992279,163.08315,8371,10.94424,6,24.137098,1.0206778,7,73,18.44269,0.25768197,18.439579,236,22.709326,42.4128,30,18.242588,35.379742,20,756.45306,158.78867,29,3,4,7,31.552702,6.643856,35,50,12,48,12,6,13,3,2,13.566921,5,3,-7.62
